"non,LSR",0.17
"non,RR",0.17
"non,asIs",0.21
"non,LR",0.23
"RS,LR",3.63
"RS,LSR",3.64
"RS,RR",3.64
"RS,asIs",3.69
"RS,SVR",3.79
"kmeans-1,k1",6.59
"kmeans-3,k1",7.68
"kmeans-5,k1",8.22
"kmeans-3,k3",8.56
"kmeans-5,k3",9.12
"kmeans-5,k5",9.8
"DS,LSR",9.86
"DS,RR",9.86
"DS,LR",9.87
"DS,asIs",9.93
"DS,SVR",9.97
"DS2,LR",18.65
"DS2,RR",18.65
"DS2,LSR",18.66
"DS2,asIs",18.69
"DS2,SVR",18.76
"DS,LGBM",20.95
"RS,LGBM",21.42
"non,SVR",25.82
"non,LGBM",55.27
"DS2,LGBM",57.29
