Sampling,Regressor,rank0,count0,rank1,count1,rank2,count2
GS,k1,rank0,15,rank1,0,rank2,0
non,LGBM,rank0,15,rank1,0,rank2,0
non,LR,rank0,14,rank1,1,rank2,0
non,RR,rank0,14,rank1,1,rank2,0
non,SVR,rank0,14,rank1,1,rank2,0
RS,k1,rank0,13,rank1,2,rank2,0
RS,k3,rank0,13,rank1,2,rank2,0
RS,k5,rank0,13,rank1,1,rank2,1
non,LSR,rank0,13,rank1,2,rank2,0
GS,k3,rank0,12,rank1,3,rank2,0
RS,SVR,rank0,12,rank1,2,rank2,1
non,k1,rank0,12,rank1,3,rank2,0
GS,LSR,rank0,11,rank1,4,rank2,0
GS,k5,rank0,11,rank1,4,rank2,0
RS,LR,rank0,11,rank1,4,rank2,0
RS,LSR,rank0,11,rank1,4,rank2,0
RS,RR,rank0,11,rank1,4,rank2,0
non,k3,rank0,11,rank1,4,rank2,0
non,k5,rank0,11,rank1,4,rank2,0
GS,LR,rank0,10,rank1,4,rank2,1
GS,RR,rank0,10,rank1,4,rank2,1
GS,SVR,rank0,10,rank1,4,rank2,1
RS,asIs,rank0,10,rank1,4,rank2,1
RS,mid-leaf,rank0,10,rank1,4,rank2,1
GS,LGBM,rank0,9,rank1,6,rank2,0
GS,mid-leaf,rank0,9,rank1,6,rank2,0
RS,LGBM,rank0,9,rank1,5,rank2,1
non,mid-leaf,rank0,9,rank1,5,rank2,1
GS,asIs,rank0,7,rank1,7,rank2,1
non,asIs,rank0,7,rank1,7,rank2,1
