"non,asIs",3.55
"RS,asIs",256.76
"RS,mid-leaf",268.62
"RS,RR",270.38
"RS,LR",270.42
"RS,LSR",270.42
"RS,LGBM",290.18
"RS,SVR",292.68
"RS,k1",588.33
"RS,k3",619.28
"RS,k5",651.24
"DS,asIs",936.13
"DS,mid-leaf",948.09
"DS,RR",949.9
"DS,LR",949.91
"DS,LSR",949.94
"DS,SVR",973.2
"DS,LGBM",974.19
"DS,k1",1263.59
"DS,k3",1295.6
"DS,k5",1328.92
"non,mid-leaf",2651.33
"non,RR",2656.28
"non,LSR",2658.89
"non,LR",2663.33
"non,LGBM",2952.37
"non,k1",3003.48
"non,k3",3032.9
"non,k5",3065.6
"non,SVR",10911.74
