"DS,LGBM",119.58
"DS,LR",114.37
"DS,LSR",114.36
"DS,RR",114.32
"DS,SVR",115.76
"DS,asIs",110.99
"DS,k1",150.31
"DS,k3",154.04
"DS,k5",158.14
"DS,mid-leaf",112.95
"RS,LGBM",50.45
"RS,LR",44.31
"RS,LSR",44.3
"RS,RR",44.24
"RS,SVR",45.75
"RS,asIs",40.7
"RS,k1",86.84
"RS,k3",90.66
"RS,k5",94.77
"RS,mid-leaf",42.87
"non,LGBM",375.07
"non,LR",316.94
"non,LSR",316.98
"non,RR",316.71
"non,SVR",728.57
"non,asIs",0.8
"non,k1",378.59
"non,k3",382.2
"non,k5",386.34
"non,mid-leaf",314.78
